Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,Sea Beach,Kings Hwy,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,7th St,Kings Hwy,NW,40.604159499999994,-73.9803885
BMT,Sea Beach,New Utrecht Av,D,N,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,New Utrecht Ave,62nd St,SE,40.624926,-73.996396
BMT,West End,18 Av,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,18th Ave,85th St,SE,40.6077495,-74.00169249999999
BMT,West End,20 Av,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,20th Ave,86th St,SW,40.604614,-73.9982525
BMT,West End,25 Av,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,25th Ave,86th St,SW,40.5979255,-73.9872
BMT,West End,50 St,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,New Utrecht Ave,50th St,NW,40.636274,-73.99479400000001
BMT,West End,55 St,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,New Utrecht Ave,55th St,SW,40.631549,-73.9954525
BMT,West End,62 St,D,N,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,14th Ave,61st St,NW,40.627238500000004,-73.9966675
BMT,West End,71 St,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,New Utrecht Ave,71st St,NW,40.6195745,-73.998895
BMT,West End,79 St,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,New Utrecht Ave,79th St,NW,40.6134505,-74.00063499999999
BMT,West End,9 Av,D,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,9th Ave,New Utrecht Ave,NE,40.646337,-73.994489
BMT,West End,Bay 50 St,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Stillwell Ave,Bay 50th St,SW,40.588185,-73.9836445
BMT,West End,Bay Pkwy,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Bay Pkwy,86th St,SW,40.601938000000004,-73.99383399999999
BMT,West End,Fort Hamilton Pkwy,D,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,New Utrecht Ave,45th St,NW,40.6407795,-73.9943055
IND,63rd Street,21 St-Queensbridge,F,,,,,,,,,,,TRUE,,TRUE,Escalator,YES,,FULL,21st St,41st Ave,NW,40.7541955,-73.942228
IND,63rd Street,Lexington Av/63 St,F,,,,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Lexington Av,63rd St,SW,40.7648025,-73.96648149999999
IND,63rd Street,Roosevelt Island,F,,,,,,,,,,,TRUE,,TRUE,Door,YES,,FULL,West Rd,Unnamed St,SE,40.759016,-73.953505
IND,6th Avenue,14 St,F,L,M,1,2,3,,,,,,FALSE,,TRUE,Stair,YES,,FULL,6th Ave,14th St,SW,40.738062,-73.996426
IND,6th Avenue,2 Av,F,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Chrystie St,Houston St,SW,40.7233785,-73.990257
IND,6th Avenue,23 St,F,M,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,6th Ave,23rd St,SW,40.74289,-73.9927855
IND,6th Avenue,34 St-Herald Sq,B,D,F,M,N,Q,R,,,,,TRUE,,TRUE,Elevator,YES,,FULL,Broadway,34 St,SW,40.749813,-73.9878815
IND,6th Avenue,42 St-Bryant Pk,B,D,F,M,7,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,6th Av,40th St,SW,40.7543705,-73.98445799999999
